name,red,green,blue,alpha,id
unknown,115,22,236,255,0
sky,135,206,235,255,1
tree,0,108,0,255,2
water,0,0,225,255,3
ground,139,69,19,255,4
grass,0,127,255,255,5
sand,146,197,157,255,6
sidewalk,220,220,220,255,7
dock,248,62,35,255,8
road,100,100,100,255,9
path,201,182,90,255,10
vehicle,0,255,255,255,11
building,186,85,211,255,12
shelter,0,73,153,255,13
signal,40,61,249,255,14
rock,0,0,0,255,15
fence,39,196,191,255,16
boat,0,255,127,255,17
sign,37,49,65,255,18
hill,225,225,0,255,19
bridge,48,135,55,255,20
wall,75,0,130,255,21
floor,128,128,128,255,22
ceiling,49,131,181,255,23
door,179,137,19,255,24
stairs,73,168,252,255,25
pole,127,127,255,255,26
rail,255,127,0,255,27
structure,113,179,22,255,28
window,255,120,120,255,29
surface,225,0,225,255,30
flora,0,255,0,255,31
flower,198,157,180,255,32
bed,244,194,148,255,33
box,0,161,110,255,34
storage,68,253,46,255,35
barrel,202,17,112,255,36
bag,127,0,0,255,37
basket,255,127,255,255,38
seating,225,0,0,255,39
flag,76,249,211,255,40
decor,255,255,127,255,41
light,115,61,165,255,42
appliance,127,255,0,255,43
trash,76,209,99,255,44
bicycle,121,20,73,255,45
food,244,68,252,255,46
clothes,12,179,12,255,47
thing,153,253,112,255,48
animal,189,83,80,255,49
human,251,59,163,255,50
